DateRep	CountryExp	AllConfCases	AllDeaths
09.03.2020	Landkreis Mittelsachsen	0	0
09.03.2020	Landkreis Nordsachsen	0	0
09.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	1	0
09.03.2020	Vogtlandkreis	0	0
09.03.2020	Landkreis Zwickau	0	0
09.03.2020	Sachsen_SMS	12	0
09.03.2020	Gesamt	514	2
10.03.2020	Baden-Württemberg	92	
10.03.2020	Bayern	136	
10.03.2020	Berlin	31	
10.03.2020	Brandenburg	3	
10.03.2020	Bremen	4	
10.03.2020	Hamburg	4	
10.03.2020	Hessen	18	
10.03.2020	Mecklenburg-Vorpommern	5	
10.03.2020	Niedersachsen	24	
10.03.2020	Nordrhein-Westfalen	303	
10.03.2020	Rheinland-Pfalz	18	
10.03.2020	Saarland	2	
10.03.2020	Sachsen	5	
10.03.2020	Sachsen-Anhalt	0	
10.03.2020	Schleswig-Holstein	8	
10.03.2020	Thüringen	1	
10.03.2020	Landeshauptstadt Dresden	3	0
10.03.2020	Stadt Chemnitz	3	0
10.03.2020	Stadt Leipzig	4	0
10.03.2020	Landkreis Bautzen	7	0
10.03.2020	Erzgebirgskreis	0	0
10.03.2020	Landkreis Görlitz	2	0
10.03.2020	Landkreis Leipzig	3	0
10.03.2020	Landkreis Meißen	1	0
10.03.2020	Landkreis Mittelsachsen	0	0
10.03.2020	Landkreis Nordsachsen	0	0
10.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	1	0
10.03.2020	Vogtlandkreis	0	0
10.03.2020	Landkreis Zwickau	0	0
10.03.2020	Sachsen_SMS	24	0
10.03.2020	Gesamt	654	2
11.03.2020	Baden-Württemberg	190	
11.03.2020	Bayern	207	
11.03.2020	Berlin	90	
11.03.2020	Brandenburg	11	
11.03.2020	Bremen	21	
11.03.2020	Hamburg	17	
11.03.2020	Hessen	28	
11.03.2020	Mecklenburg-Vorpommern	11	
11.03.2020	Niedersachsen	52	
11.03.2020	Nordrhein-Westfalen	384	
11.03.2020	Rheinland-Pfalz	25	
11.03.2020	Saarland	6	
11.03.2020	Sachsen	17	
11.03.2020	Sachsen-Anhalt	6	
11.03.2020	Schleswig-Holstein	14	
11.03.2020	Thüringen	10	
11.03.2020	Landeshauptstadt Dresden	4	0
11.03.2020	Stadt Chemnitz	3	0
11.03.2020	Stadt Leipzig	4	0
11.03.2020	Landkreis Bautzen	7	0
11.03.2020	Erzgebirgskreis	0	0
11.03.2020	Landkreis Görlitz	2	0
11.03.2020	Landkreis Leipzig	4	0
11.03.2020	Landkreis Meißen	3	0
11.03.2020	Landkreis Mittelsachsen	0	0
11.03.2020	Landkreis Nordsachsen	0	0
11.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	2	0
11.03.2020	Vogtlandkreis	0	0
11.03.2020	Landkreis Zwickau	0	0
11.03.2020	Sachsen_SMS	29	0
11.03.2020	Gesamt	1089	3
12.03.2020	Baden-Württemberg	331	
12.03.2020	Bayern	317	
12.03.2020	Berlin	137	
12.03.2020	Brandenburg	23	
12.03.2020	Bremen	35	
12.03.2020	Hamburg	60	
12.03.2020	Hessen	59	
12.03.2020	Mecklenburg-Vorpommern	16	
12.03.2020	Niedersachsen	81	
12.03.2020	Nordrhein-Westfalen	688	
12.03.2020	Rheinland-Pfalz	52	
12.03.2020	Saarland	8	
12.03.2020	Sachsen	30	
12.03.2020	Sachsen-Anhalt	14	
12.03.2020	Schleswig-Holstein	29	
12.03.2020	Thüringen	12	
12.03.2020	Gesamt	1892	5
12.03.2020	Landeshauptstadt Dresden	6	0
12.03.2020	Stadt Chemnitz	3	0
12.03.2020	Stadt Leipzig	6	0
12.03.2020	Landkreis Bautzen	12	0
12.03.2020	Erzgebirgskreis	0	0
12.03.2020	Landkreis Görlitz	5	0
12.03.2020	Landkreis Leipzig	8	0
12.03.2020	Landkreis Meißen	3	0
12.03.2020	Landkreis Mittelsachsen	0	0
12.03.2020	Landkreis Nordsachsen	0	0
12.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	6	0
12.03.2020	Vogtlandkreis	0	0
12.03.2020	Landkreis Zwickau	0	0
12.03.2020	Sachsen_SMS	49	0
13.03.2020	Baden-Württemberg	401	
13.03.2020	Bayern	412	
13.03.2020	Berlin	174	
13.03.2020	Brandenburg	44	
13.03.2020	Bremen	42	
13.03.2020	Hamburg	99	
13.03.2020	Hessen	94	
13.03.2020	Mecklenburg-Vorpommern	21	
13.03.2020	Niedersachsen	134	
13.03.2020	Nordrhein-Westfalen	887	
13.03.2020	Rheinland-Pfalz	102	
13.03.2020	Saarland	30	
13.03.2020	Sachsen	46	
13.03.2020	Sachsen-Anhalt	29	
13.03.2020	Schleswig-Holstein	45	
13.03.2020	Thüringen	16	
13.03.2020	Gesamt	2576	5
13.03.2020	Landeshauptstadt Dresden	6	0
13.03.2020	Stadt Chemnitz	3	0
13.03.2020	Stadt Leipzig	16	0
13.03.2020	Landkreis Bautzen	12	0
13.03.2020	Erzgebirgskreis	0	0
13.03.2020	Landkreis Görlitz	5	0
13.03.2020	Landkreis Leipzig	11	0
13.03.2020	Landkreis Meißen	3	0
13.03.2020	Landkreis Mittelsachsen	0	0
13.03.2020	Landkreis Nordsachsen	2	0
13.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	6	0
13.03.2020	Vogtlandkreis	0	0
13.03.2020	Landkreis Zwickau	3	0
13.03.2020	Sachsen_SMS	83	0
14.03.2020	Baden-Württemberg	506	
14.03.2020	Bayern	605	
14.03.2020	Berlin	216	
14.03.2020	Brandenburg	57	
14.03.2020	Bremen	50	
14.03.2020	Hamburg	119	
14.03.2020	Hessen	141	
14.03.2020	Mecklenburg-Vorpommern	23	
14.03.2020	Niedersachsen	187	
14.03.2020	Nordrhein-Westfalen	1154	
14.03.2020	Rheinland-Pfalz	121	
14.03.2020	Saarland	31	
14.03.2020	Sachsen	86	
14.03.2020	Sachsen-Anhalt	40	
14.03.2020	Schleswig-Holstein	54	
14.03.2020	Thüringen	31	
14.03.2020	Gesamt	3421	8
14.03.2020	Landeshauptstadt Dresden	11	0
14.03.2020	Stadt Chemnitz	10	0
14.03.2020	Stadt Leipzig	19	0
14.03.2020	Landkreis Bautzen	14	0
14.03.2020	Erzgebirgskreis	2	0
14.03.2020	Landkreis Görlitz	6	0
14.03.2020	Landkreis Leipzig	11	0
14.03.2020	Landkreis Meißen	9	0
14.03.2020	Landkreis Mittelsachsen	0	0
14.03.2020	Landkreis Nordsachsen	2	0
14.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	11	0
14.03.2020	Vogtlandkreis	0	0
14.03.2020	Landkreis Zwickau	4	0
14.03.2020	Sachsen_SMS	99	0
15.03.2020	Baden-Württemberg	524	
15.03.2020	Bayern	804	
15.03.2020	Berlin	265	
15.03.2020	Brandenburg	56	
15.03.2020	Bremen	53	
15.03.2020	Hamburg	162	
15.03.2020	Hessen	207	
15.03.2020	Mecklenburg-Vorpommern	33	
15.03.2020	Niedersachsen	238	
15.03.2020	Nordrhein-Westfalen	1407	
15.03.2020	Rheinland-Pfalz	168	
15.03.2020	Saarland	32	
15.03.2020	Sachsen	91	
15.03.2020	Sachsen-Anhalt	40	
15.03.2020	Schleswig-Holstein	79	
15.03.2020	Thüringen	36	
15.03.2020	Gesamt	4195	12
15.03.2020	Landeshauptstadt Dresden	23	0
15.03.2020	Stadt Chemnitz	10	0
15.03.2020	Stadt Leipzig	31	0
15.03.2020	Landkreis Bautzen	14	0
15.03.2020	Erzgebirgskreis	2	0
15.03.2020	Landkreis Görlitz	6	0
15.03.2020	Landkreis Leipzig	16	0
15.03.2020	Landkreis Meißen	9	0
15.03.2020	Landkreis Mittelsachsen	0	0
15.03.2020	Landkreis Nordsachsen	3	0
15.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	9	0
15.03.2020	Vogtlandkreis	1	0
15.03.2020	Landkreis Zwickau	4	0
15.03.2020	Sachsen_SMS	128	0
16.03.2020	Baden-Württemberg	1062	
16.03.2020	Bayern	965	
16.03.2020	Berlin	300	
16.03.2020	Brandenburg	65	
16.03.2020	Bremen	56	
16.03.2020	Hamburg	255	
16.03.2020	Hessen	241	
16.03.2020	Mecklenburg-Vorpommern	36	
16.03.2020	Niedersachsen	272	
16.03.2020	Nordrhein-Westfalen	1541	
16.03.2020	Rheinland-Pfalz	325	
16.03.2020	Saarland	32	
16.03.2020	Sachsen	103	
16.03.2020	Sachsen-Anhalt	40	
16.03.2020	Schleswig-Holstein	104	
16.03.2020	Thüringen	36	
16.03.2020	Gesamt	5433	13
16.03.2020	Landeshauptstadt Dresden	23	0
16.03.2020	Stadt Chemnitz	10	0
16.03.2020	Stadt Leipzig	41	0
16.03.2020	Landkreis Bautzen	14	0
16.03.2020	Erzgebirgskreis	2	0
16.03.2020	Landkreis Görlitz	6	0
16.03.2020	Landkreis Leipzig	17	0
16.03.2020	Landkreis Meißen	9	0
16.03.2020	Landkreis Mittelsachsen	0	0
16.03.2020	Landkreis Nordsachsen	3	0
16.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	11	0
16.03.2020	Vogtlandkreis	2	0
16.03.2020	Landkreis Zwickau	14	0
16.03.2020	Sachsen_SMS	152	0
17.03.2020	Baden-Württemberg	1479	2
17.03.2020	Bayern	1109	4
17.03.2020	Berlin	345	0
17.03.2020	Brandenburg	73	0
17.03.2020	Bremen	57	0
17.03.2020	Hamburg	310	0
17.03.2020	Hessen	373	0
17.03.2020	Mecklenburg-Vorpommern	45	0
17.03.2020	Niedersachsen	325	0
17.03.2020	Nordrhein-Westfalen	2105	6
17.03.2020	Rheinland-Pfalz	442	0
17.03.2020	Saarland	75	0
17.03.2020	Sachsen	182	0
17.03.2020	Sachsen-Anhalt	58	0
17.03.2020	Schleswig-Holstein	127	0
17.03.2020	Thüringen	51	0
17.03.2020	Gesamt	7156	12
17.03.2020	Landeshauptstadt Dresden	40	0
17.03.2020	Stadt Chemnitz	16	0
17.03.2020	Stadt Leipzig	71	0
17.03.2020	Landkreis Bautzen	24	0
17.03.2020	Erzgebirgskreis	8	0
17.03.2020	Landkreis Görlitz	9	0
17.03.2020	Landkreis Leipzig	17	0
17.03.2020	Landkreis Meißen	11	0
17.03.2020	Landkreis Mittelsachsen	6	0
17.03.2020	Landkreis Nordsachsen	6	0
17.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	14	0
17.03.2020	Vogtlandkreis	2	0
17.03.2020	Landkreis Zwickau	23	0
17.03.2020	Sachsen_SMS	247	0
18.03.2020	Baden-Württemberg	1609	2
18.03.2020	Bayern	1243	4
18.03.2020	Berlin	391	0
18.03.2020	Brandenburg	92	0
18.03.2020	Bremen	69	0
18.03.2020	Hamburg	358	0
18.03.2020	Hessen	432	0
18.03.2020	Mecklenburg-Vorpommern	56	0
18.03.2020	Niedersachsen	478	0
18.03.2020	Nordrhein-Westfalen	2372	6
18.03.2020	Rheinland-Pfalz	474	0
18.03.2020	Saarland	88	0
18.03.2020	Sachsen	198	0
18.03.2020	Sachsen-Anhalt	105	0
18.03.2020	Schleswig-Holstein	159	0
18.03.2020	Thüringen	74	0
18.03.2020	Gesamt	8198	12
18.03.2020	Landeshauptstadt Dresden	49	0
18.03.2020	Stadt Chemnitz	18	0
18.03.2020	Stadt Leipzig	72	0
18.03.2020	Landkreis Bautzen	32	0
18.03.2020	Erzgebirgskreis	11	0
18.03.2020	Landkreis Görlitz	9	0
18.03.2020	Landkreis Leipzig	21	0
18.03.2020	Landkreis Meißen	12	0
18.03.2020	Landkreis Mittelsachsen	12	0
18.03.2020	Landkreis Nordsachsen	5	0
18.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	19	0
18.03.2020	Vogtlandkreis	3	0
18.03.2020	Landkreis Zwickau	31	0
18.03.2020	Sachsen_SMS	296	0
19.03.2020	Baden-Württemberg	2155	6
19.03.2020	Bayern	1692	8
19.03.2020	Berlin	573	0
19.03.2020	Brandenburg	134	0
19.03.2020	Bremen	80	0
19.03.2020	Hamburg	432	0
19.03.2020	Hessen	682	0
19.03.2020	Mecklenburg-Vorpommern	98	0
19.03.2020	Niedersachsen	669	0
19.03.2020	Nordrhein-Westfalen	3033	6
19.03.2020	Rheinland-Pfalz	637	0
19.03.2020	Saarland	99	0
19.03.2020	Sachsen	275	0
19.03.2020	Sachsen-Anhalt	140	0
19.03.2020	Schleswig-Holstein	202	0
19.03.2020	Thüringen	98	0
19.03.2020	Gesamt	10999	20
19.03.2020	Landeshauptstadt Dresden	53	0
19.03.2020	Stadt Chemnitz	18	0
19.03.2020	Stadt Leipzig	94	0
19.03.2020	Landkreis Bautzen	45	0
19.03.2020	Erzgebirgskreis	16	0
19.03.2020	Landkreis Görlitz	12	0
19.03.2020	Landkreis Leipzig	28	0
19.03.2020	Landkreis Meißen	17	0
19.03.2020	Landkreis Mittelsachsen	17	0
19.03.2020	Landkreis Nordsachsen	7	0
19.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	25	0
19.03.2020	Vogtlandkreis	7	0
19.03.2020	Landkreis Zwickau	50	0
19.03.2020	Sachsen_SMS	389	0
20.03.2020	Baden-Württemberg	2746	10
20.03.2020	Bayern	2401	12
20.03.2020	Berlin	731	0
20.03.2020	Brandenburg	192	0
20.03.2020	Bremen	121	0
20.03.2020	Hamburg	586	0
20.03.2020	Hessen	813	1
20.03.2020	Mecklenburg-Vorpommern	131	0
20.03.2020	Niedersachsen	803	0
20.03.2020	Nordrhein-Westfalen	3497	6
20.03.2020	Rheinland-Pfalz	801	1
20.03.2020	Saarland	146	0
20.03.2020	Sachsen	394	0
20.03.2020	Sachsen-Anhalt	180	0
20.03.2020	Schleswig-Holstein	266	1
20.03.2020	Thüringen	149	0
20.03.2020	Gesamt	13957	31
20.03.2020	Landeshauptstadt Dresden	89	0
20.03.2020	Stadt Chemnitz	31	0
20.03.2020	Stadt Leipzig	119	0
20.03.2020	Landkreis Bautzen	55	0
20.03.2020	Erzgebirgskreis	28	0
20.03.2020	Landkreis Görlitz	15	0
20.03.2020	Landkreis Leipzig	32	0
20.03.2020	Landkreis Meißen	18	0
20.03.2020	Landkreis Mittelsachsen	24	0
20.03.2020	Landkreis Nordsachsen	9	0
20.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	35	0
20.03.2020	Vogtlandkreis	10	0
20.03.2020	Landkreis Zwickau	97	0
20.03.2020	Sachsen_SMS	562	1
21.03.2020	Baden-Württemberg	3668	16
21.03.2020	Bayern	2960	19
21.03.2020	Berlin	866	1
21.03.2020	Brandenburg	254	0
21.03.2020	Bremen	142	0
21.03.2020	Hamburg		0
21.03.2020	Hessen	1080	2
21.03.2020	Mecklenburg-Vorpommern	165	0
21.03.2020	Niedersachsen	1023	0
21.03.2020	Nordrhein-Westfalen	3542	6
21.03.2020	Rheinland-Pfalz	938	1
21.03.2020	Saarland	187	0
21.03.2020	Sachsen	567	0
21.03.2020	Sachsen-Anhalt	188	0
21.03.2020	Schleswig-Holstein	308	1
21.03.2020	Thüringen	187	0
21.03.2020	Gesamt	16662	46
21.03.2020	Landeshauptstadt Dresden	108	0
21.03.2020	Stadt Chemnitz	42	0
21.03.2020	Stadt Leipzig	129	0
21.03.2020	Landkreis Bautzen	65	0
21.03.2020	Erzgebirgskreis	33	0
21.03.2020	Landkreis Görlitz	15	0
21.03.2020	Landkreis Leipzig	32	0
21.03.2020	Landkreis Meißen	21	0
21.03.2020	Landkreis Mittelsachsen	24	0
21.03.2020	Landkreis Nordsachsen	9	0
21.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	41	0
21.03.2020	Vogtlandkreis	16	0
21.03.2020	Landkreis Zwickau	115	0
21.03.2020	Sachsen_SMS	650	1
22.03.2020	Baden-Württemberg		21
22.03.2020	Bayern		21
22.03.2020	Berlin	1024	1
22.03.2020	Brandenburg		
22.03.2020	Bremen	165	
22.03.2020	Hamburg	872	
22.03.2020	Hessen		2
22.03.2020	Mecklenburg-Vorpommern		
22.03.2020	Niedersachsen	1306	1
22.03.2020	Nordrhein-Westfalen		6
22.03.2020	Rheinland-Pfalz	1053	2
22.03.2020	Saarland		
22.03.2020	Sachsen		
22.03.2020	Sachsen-Anhalt	211	
22.03.2020	Schleswig-Holstein	347	1
22.03.2020	Thüringen	216	
22.03.2020	Gesamt	18610	55
22.03.2020	Landeshauptstadt Dresden	123	0
22.03.2020	Stadt Chemnitz	51	0
22.03.2020	Stadt Leipzig	144	0
22.03.2020	Landkreis Bautzen	65	0
22.03.2020	Erzgebirgskreis	33	0
22.03.2020	Landkreis Görlitz	15	0
22.03.2020	Landkreis Leipzig	32	0
22.03.2020	Landkreis Meißen	25	0
22.03.2020	Landkreis Mittelsachsen	24	0
22.03.2020	Landkreis Nordsachsen	13	0
22.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	41	0
22.03.2020	Vogtlandkreis	16	0
22.03.2020	Landkreis Zwickau	149	0
22.03.2020	Sachsen_SMS	731	1
23.03.2020	Baden-Württemberg		21
23.03.2020	Bayern		26
23.03.2020	Berlin		1
23.03.2020	Brandenburg		
23.03.2020	Bremen		
23.03.2020	Hamburg	943	
23.03.2020	Hessen		3
23.03.2020	Mecklenburg-Vorpommern		
23.03.2020	Niedersachsen	1483	4
23.03.2020	Nordrhein-Westfalen		28
23.03.2020	Rheinland-Pfalz	1177	2
23.03.2020	Saarland		
23.03.2020	Sachsen		
23.03.2020	Sachsen-Anhalt		
23.03.2020	Schleswig-Holstein	383	1
23.03.2020	Thüringen	249	
23.03.2020	Gesamt	22672	86
23.03.2020	Landeshauptstadt Dresden	123	0
23.03.2020	Stadt Chemnitz	55	0
23.03.2020	Stadt Leipzig	161	0
23.03.2020	Landkreis Bautzen	85	0
23.03.2020	Erzgebirgskreis	44	0
23.03.2020	Landkreis Görlitz	28	0
23.03.2020	Landkreis Leipzig	45	0
23.03.2020	Landkreis Meißen	26	0
23.03.2020	Landkreis Mittelsachsen	34	0
23.03.2020	Landkreis Nordsachsen	13	0
23.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	60	0
23.03.2020	Vogtlandkreis	16	0
23.03.2020	Landkreis Zwickau	175	0
23.03.2020	Sachsen_SMS	865	3
24.03.2020	Baden-Württemberg	5348	30
24.03.2020	Bayern	5754	30
24.03.2020	Berlin	1220	1
24.03.2020	Brandenburg	343	
24.03.2020	Bremen	183	
24.03.2020	Hamburg	1043	
24.03.2020	Hessen	1620	4
24.03.2020	Mecklenburg-Vorpommern	199	
24.03.2020	Niedersachsen	1764	6
24.03.2020	Nordrhein-Westfalen	6318	33
24.03.2020	Rheinland-Pfalz	1370	5
24.03.2020	Saarland	337	1
24.03.2020	Sachsen	811	1
24.03.2020	Sachsen-Anhalt	321	
24.03.2020	Schleswig-Holstein	478	2
24.03.2020	Thüringen	327	1
24.03.2020	Gesamt	27436	114
24.03.2020	Landeshauptstadt Dresden	169	0
24.03.2020	Stadt Chemnitz	58	0
24.03.2020	Stadt Leipzig	181	0
24.03.2020	Landkreis Bautzen	96	0
24.03.2020	Erzgebirgskreis	54	0
24.03.2020	Landkreis Görlitz	30	0
24.03.2020	Landkreis Leipzig	50	0
24.03.2020	Landkreis Meißen	35	0
24.03.2020	Landkreis Mittelsachsen	43	0
24.03.2020	Landkreis Nordsachsen	19	0
24.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	79	0
24.03.2020	Vogtlandkreis	35	0
24.03.2020	Landkreis Zwickau	172	0
24.03.2020	Sachsen_SMS	1018	6
25.03.2020	Landeshauptstadt Dresden	173	2
25.03.2020	Stadt Chemnitz	61	0
25.03.2020	Stadt Leipzig	204	0
25.03.2020	Landkreis Bautzen	112	0
25.03.2020	Erzgebirgskreis	57	0
25.03.2020	Landkreis Görlitz	33	0
25.03.2020	Landkreis Leipzig	59	0
25.03.2020	Landkreis Meißen	35	0
25.03.2020	Landkreis Mittelsachsen	51	0
25.03.2020	Landkreis Nordsachsen	21	0
25.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	83	0
25.03.2020	Vogtlandkreis	44	0
25.03.2020	Landkreis Zwickau	195	0
25.03.2020	Sachsen_SMS	1128	0
25.03.2020	Baden-Württemberg	6069	37
25.03.2020	Bayern	6558	37
