DateRep	CountryExp	AllConfCases	AllDeaths
03.03.2020	Landeshauptstadt Dresden	0	0
03.03.2020	Stadt Chemnitz	0	0
03.03.2020	Stadt Leipzig	0	0
03.03.2020	Landkreis Bautzen	0	0
03.03.2020	Erzgebirgskreis	0	0
03.03.2020	Landkreis Görlitz	0	0
03.03.2020	Landkreis Leipzig	0	0
03.03.2020	Landkreis Meißen	0	0
03.03.2020	Landkreis Mittelsachsen	0	0
03.03.2020	Landkreis Nordsachsen	0	0
03.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	1	0
03.03.2020	Vogtlandkreis	0	0
03.03.2020	Landkreis Zwickau	0	0
03.03.2020	Sachsen_SMS	1	0
04.03.2020	Brandenburg	0	
04.03.2020	Berlin	4	
04.03.2020	Baden-Württemberg	18	
04.03.2020	Bayern	28	
04.03.2020	Bremen	1	
04.03.2020	Hessen	12	
04.03.2020	Hamburg	2	
04.03.2020	Mecklenburg-Vorpommern	0	
04.03.2020	Niedersachsen	1	
04.03.2020	Nordrhein-Westfalen	76	
04.03.2020	Rheinland-Pfalz	2	
04.03.2020	Saarland	0	
04.03.2020	Schleswig-Holstein	2	
04.03.2020	Sachsen	1	
04.03.2020	Thüringen	1	
04.03.2020	Landeshauptstadt Dresden	0	0
04.03.2020	Stadt Chemnitz	0	0
04.03.2020	Stadt Leipzig	0	0
04.03.2020	Landkreis Bautzen	0	0
04.03.2020	Erzgebirgskreis	0	0
04.03.2020	Landkreis Görlitz	0	0
04.03.2020	Landkreis Leipzig	0	0
04.03.2020	Landkreis Meißen	0	0
04.03.2020	Landkreis Mittelsachsen	0	0
04.03.2020	Landkreis Nordsachsen	0	0
04.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	1	0
04.03.2020	Vogtlandkreis	0	0
04.03.2020	Landkreis Zwickau	0	0
04.03.2020	Sachsen_SMS	1	0
04.03.2020	Gesamt	148	0
05.03.2020	Brandenburg	0	
05.03.2020	Berlin	6	
05.03.2020	Baden-Württemberg	25	
05.03.2020	Bayern	32	
05.03.2020	Bremen	3	
05.03.2020	Hessen	12	
05.03.2020	Hamburg	2	
05.03.2020	Mecklenburg-Vorpommern	4	
05.03.2020	Niedersachsen	4	
05.03.2020	Nordrhein-Westfalen	98	
05.03.2020	Rheinland-Pfalz	6	
05.03.2020	Saarland	0	
05.03.2020	Schleswig-Holstein	3	
05.03.2020	Sachsen	1	
05.03.2020	Thüringen	1	
05.03.2020	Landeshauptstadt Dresden	0	0
05.03.2020	Stadt Chemnitz	0	0
05.03.2020	Stadt Leipzig	0	0
05.03.2020	Landkreis Bautzen	0	0
05.03.2020	Erzgebirgskreis	0	0
05.03.2020	Landkreis Görlitz	0	0
05.03.2020	Landkreis Leipzig	0	0
05.03.2020	Landkreis Meißen	0	0
05.03.2020	Landkreis Mittelsachsen	0	0
05.03.2020	Landkreis Nordsachsen	0	0
05.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	1	0
05.03.2020	Vogtlandkreis	0	0
05.03.2020	Landkreis Zwickau	0	0
05.03.2020	Sachsen_SMS	1	0
05.03.2020	Gesamt	197	0
06.03.2020	Brandenburg	1	
06.03.2020	Berlin	11	
06.03.2020	Baden-Württemberg	46	
06.03.2020	Bayern	46	
06.03.2020	Bremen	3	
06.03.2020	Hessen	16	
06.03.2020	Hamburg	2	
06.03.2020	Mecklenburg-Vorpommern	4	
06.03.2020	Niedersachsen	10	
06.03.2020	Nordrhein-Westfalen	148	
06.03.2020	Rheinland-Pfalz	5	
06.03.2020	Saarland	0	
06.03.2020	Schleswig-Holstein	4	
06.03.2020	Sachsen	1	
06.03.2020	Thüringen	1	
06.03.2020	Landeshauptstadt Dresden	0	0
06.03.2020	Stadt Chemnitz	0	0
06.03.2020	Stadt Leipzig	1	0
06.03.2020	Landkreis Bautzen	0	0
06.03.2020	Erzgebirgskreis	0	0
06.03.2020	Landkreis Görlitz	0	0
06.03.2020	Landkreis Leipzig	0	0
06.03.2020	Landkreis Meißen	0	0
06.03.2020	Landkreis Mittelsachsen	0	0
06.03.2020	Landkreis Nordsachsen	0	0
06.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	1	0
06.03.2020	Vogtlandkreis	0	0
06.03.2020	Landkreis Zwickau	0	0
06.03.2020	Sachsen_SMS	2	0
06.03.2020	Gesamt	298	0
07.03.2020	Baden-Württemberg		
07.03.2020	Bayern		
07.03.2020	Berlin		
07.03.2020	Brandenburg		
07.03.2020	Bremen		
07.03.2020	Hamburg		
07.03.2020	Hessen		
07.03.2020	Mecklenburg-Vorpommern		
07.03.2020	Niedersachsen		
07.03.2020	Nordrhein-Westfalen		
07.03.2020	Rheinland-Pfalz		
07.03.2020	Saarland		
07.03.2020	Sachsen		
07.03.2020	Schleswig-Holstein		
07.03.2020	Thüringen		
07.03.2020	Landeshauptstadt Dresden	0	0
07.03.2020	Stadt Chemnitz	0	0
07.03.2020	Stadt Leipzig	1	0
07.03.2020	Landkreis Bautzen	1	0
07.03.2020	Erzgebirgskreis	0	0
07.03.2020	Landkreis Görlitz	0	0
07.03.2020	Landkreis Leipzig	1	0
07.03.2020	Landkreis Meißen	0	0
07.03.2020	Landkreis Mittelsachsen	0	0
07.03.2020	Landkreis Nordsachsen	0	0
07.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	1	0
07.03.2020	Vogtlandkreis	0	0
07.03.2020	Landkreis Zwickau	0	0
07.03.2020	Sachsen_SMS	4	0
07.03.2020	Gesamt	384	0
08.03.2020	Baden-Württemberg	22	
08.03.2020	Bayern	54	
08.03.2020	Berlin	17	
08.03.2020	Brandenburg		
08.03.2020	Bremen		
08.03.2020	Hamburg		
08.03.2020	Hessen		
08.03.2020	Mecklenburg-Vorpommern		
08.03.2020	Niedersachsen		
08.03.2020	Nordrhein-Westfalen	306	
08.03.2020	Rheinland-Pfalz		
08.03.2020	Saarland		
08.03.2020	Sachsen		
08.03.2020	Schleswig-Holstein		
08.03.2020	Thüringen		
08.03.2020	Landeshauptstadt Dresden	3	0
08.03.2020	Stadt Chemnitz	0	0
08.03.2020	Stadt Leipzig	1	0
08.03.2020	Landkreis Bautzen	4	0
08.03.2020	Erzgebirgskreis	0	0
08.03.2020	Landkreis Görlitz	0	0
08.03.2020	Landkreis Leipzig	1	0
08.03.2020	Landkreis Meißen	0	0
08.03.2020	Landkreis Mittelsachsen	0	0
08.03.2020	Landkreis Nordsachsen	0	0
08.03.2020	Landkreis Sächsische Schweiz-Osterzgebirge	1	0
08.03.2020	Vogtlandkreis	0	0
08.03.2020	Landkreis Zwickau	0	0
08.03.2020	Sachsen_SMS	10	0
08.03.2020	Gesamt	447	0
09.03.2020	Baden-Württemberg	85	
09.03.2020	Bayern	96	
09.03.2020	Berlin	28	
09.03.2020	Brandenburg	3	
09.03.2020	Bremen	3	
09.03.2020	Hamburg	4	
09.03.2020	Hessen	17	
09.03.2020	Mecklenburg-Vorpommern	5	
09.03.2020	Niedersachsen	16	
09.03.2020	Nordrhein-Westfalen	227	
09.03.2020	Rheinland-Pfalz	16	
09.03.2020	Saarland	1	
09.03.2020	Sachsen	4	
09.03.2020	Schleswig-Holstein	8	
09.03.2020	Thüringen	1	
09.03.2020	Landeshauptstadt Dresden	3	0
09.03.2020	Stadt Chemnitz	0	0
09.03.2020	Stadt Leipzig	1	0
09.03.2020	Landkreis Bautzen	4	0
09.03.2020	Erzgebirgskreis	0	0
09.03.2020	Landkreis Görlitz	0	0
09.03.2020	Landkreis Leipzig	3	0
09.03.2020	Landkreis Meißen	0	0
